====================================================================================================
3-CARD PREFLOP SCORES FOR TOSS'EM HOLD'EM (MONTE CARLO)
====================================================================================================

Simulations per hand: 50000

Formula:
  Preflop Score = (3card_equity + 2card_eq_1 + 2card_eq_2 + 2card_eq_3) / 4

Total hand classes: 1911

----------------------------------------------------------------------------------------------------
Rank  Hand   Score   Raw3c   2c_1    2c_2    2c_3    Pattern  Best  
316   KQJ    0.5758  0.5312  0.6105  0.5874  0.5741  A_A      KJs   
317   A77    0.5757  0.5422  0.6050  0.5893  0.5664  A_A      77    
318   A85    0.5757  0.6388  0.6023  0.5863  0.4754  AAA      A8s   
319   JJ2    0.5756  0.7018  0.7240  0.4383  0.4383  ___      JJ    
320   TT5    0.5754  0.6593  0.6979  0.4902  0.4544  _AA      TT    
321   AQ8    0.5753  0.5576  0.6151  0.5756  0.5528  _AA      AQo   
322   TT4    0.5752  0.6717  0.6979  0.4851  0.4461  _AA      TT    
323   A76    0.5751  0.6375  0.5893  0.5811  0.4925  AAA      A7s   
324   KQ3    0.5750  0.6418  0.6134  0.5323  0.5126  AAA      KQs   
325   TT4    0.5750  0.6710  0.6979  0.4851  0.4461  A_A      TT    
326   AJ9    0.5748  0.5552  0.6072  0.6052  0.5315  A_A      AJo   
327   AQ9    0.5747  0.5396  0.6367  0.5794  0.5433  AA_      AQs   
328   T99    0.5745  0.5778  0.6673  0.5263  0.5263  ___      99    
329   AK7    0.5743  0.5545  0.6413  0.5664  0.5351  AA_      AKs   
